id,publication_year,cited_by_count,author_ids
https://openalex.org/W2565947331,2016,13,"['A5088131991', 'A5101423504', 'A5101890757']"
https://openalex.org/W2992293321,2020,13,"['A5022604981', 'A5053323194', 'A5101423504', 'A5101890757']"
https://openalex.org/W3023999998,2020,13,"['A5101689796', 'A5064171835', 'A5061960454', 'A5020296382', 'A5076973801']"
https://openalex.org/W2924970483,2021,12,"['A5001262645', 'A5063166187', 'A5008049737']"
https://openalex.org/W563117452,1993,27,"['A5108073007', 'A5059645286']"
https://openalex.org/W657178440,1991,26,['A5059645286']
https://openalex.org/W1972631374,1987,24,['A5059645286']
https://openalex.org/W2020607209,1983,23,"['A5063225709', 'A5040255164', 'A5059645286']"
https://openalex.org/W2147017152,1989,23,"['A5020847981', 'A5065511624', 'A5059645286']"
https://openalex.org/W2057888006,2006,21,"['A5040338948', 'A5054124693', 'A5059645286']"
